gender,tenure,MonthlyCharges,TotalCharges,Contract,InternetService,Churn
Male,7.0,73.96,564.63,One year,Fiber optic,0.0
Female,49.0,52.52,2606.36,One year,No,0.0
MALE,21.0,77.95,,One year,DSL,1.0
Female,,61.91,854.29,Month-to-month,Fiber optic,0.0
Male,187410.15739294814,73.59,3258.41,Two year,No,0.0
Male,56.0,,-999.0,Month-to-month,DSL,1.0
Female,37.0,35.75,1312.04,One year,DSL,0.0
Female,-999.0,50.27,964.16,Month-to-month,Fiber optic,0.0
Female,275270.3394961807,64.49,1690.56,Month-to-month,DSL,0.0
Female,15.0,58.26,913.39,One year,Fiber optic@@,1.0
Female,24.0,-999.0,1246.42,One year,Fiber optic,1.0
Female,34.0,89.5,3008.11,Month-to-month,Fiber optic,1.0
Male,11.0,,744.79,Two year,Fiber optic,0.0
Male,71.0,107.29,7609.45,Month-to-month,Fiber optic,1.0
Female,31.0,34.74,1117.22,One year,Fiber optic,0.0
Male,,86.94,1357.76,One year,DSL,1.0
Male,17.0,55.49,961.64,Month-to-month,Fiber optic,1.0
Male,34.0,84.85,2841.6,,No,0.0
Female,71.0,,4385.5,One year,Fiber optic,1.0
Female,15.0,38.89,592.14,One year,DSL@@,0.0
 Male ,14.0,67.14,976.71,Two year,DSL,0.0
Female,34.0,-999.0,2021.66,One year,No,595327.8099111354
Female,52.0,92.61,4835.09,Month-to-month???,No,1.0
Female???,31.0,83.27,2558.23,Month-to-month,No,1.0
Female,39.0,80.57,3178.05,One year,Fiber optic,0.0
Male,18.0,-999.0,1051.2,One year,No,0.0
Female,12.0,64.8,810.0,Month-to-month,Fiber optic@@,0.0
Female,,23.94,212.48,Two year,DSL,1.0
Male,23.0,108.59,2472.52,Month-to-month,DSL,1.0
Female,26.0,999999.0,2065.17,One year,Fiber optic,0.0
Male,4.0,84.22,331.49,Month-to-month,Fiber optic,1.0
Female,71.0,39.81,2865.96,One year,Fiber optic,0.0
Male,37.0,53.48,2014.14,Month-to-month,Fiber optic,0.0
Male,29.0,60.66,1736.05,Two year,DSL,0.0
Male,2.0,68.84,147.79,One year,DSL,1.0
Female,40.0,58.56,2334.78,Two year,No,0.0
FEMALE,59.0,58.0,3439.72,One year,DSL,0.0
Female,14.0,119.96,1726.09,Month-to-month,No,0.0
Female,619864.4773781805,48.9,1890.73,TWO YEAR,DSL,0.0
Female,36.0,72.67,2655.36,One year,No,0.0
,999999.0,106.38,7157.7,Month-to-month,DSL,1.0
Female,18.0,59.32,1117.51,Two year,DSL,0.0
Female,52.0,32.12,1691.05,One year,No,0.0
Male,44.0,33.34,1470.42,Two year???,No,0.0
Female,,80.44,5266.25, One year ,DSL,1.0
Male,,68.11,4185.54,Month-to-month,No,0.0
Male,43.0,33.34,1405.95,Two year,DSL,0.0
Female,43.0,65.13,2796.97,One year,Fiber optic,999999.0
Male,10.0,60.03,637.05,One year,DSL,1.0
Female,53.0,59.62,3129.89,Month-to-month,DSL,1.0
Female,19.0,40.82,733.66,One year###,No,0.0
Male,41.0,20.28,,Two year,DSL,0.0
Male,21.0,37.76,786.33,One year,DSL,0.0
Female,62.0,32.26,1970.06,One year,DSL,0.0
Male,42.0,21.07,835.35,Two year,DSL,0.0
Male,45.0,36.16,1627.53,One year123,DSL,0.0
Male,6.0,57.36,346.19,One year,Fiber optic,1.0
Female,18.0,51.56,896.92,One year,Fiber optic,0.0
Female,3.0,-999.0,265.82,,DSL,1.0
Male,16.0,69.03,1058.22,One year,No,0.0
Female,69.0,999999.0,3793.96,,DSL,1.0
Male,344905.5813795842,45.01,303.1,Two year,DSL,0.0
Female,999999.0,98.0,1910.93,Month-to-month,No,1.0
Male,67.0,66.34,4408.5,One year,No,0.0
Male,66.0,27.06,1747.36,Two year???,No,1.0
Male,26.0,88.39,2283.93,One year,No,0.0
Male,6.0,74.62,466.54,Two year,Fiber optic,1.0
Male,1.0,56.23,17.27,Month-to-month,No,1.0
Female,20.0,55.25,1127.36,Month-to-month,No,0.0
Male,59.0,57.86,3373.72,One year,Fiber optic,1.0
Male,,48.76,1876.73,One year,No,1.0
Male,2.0,95.3,173.47,Month-to-month,No,1.0
Female,12.0,999999.0,481.72,One year,Fiber optic,0.0
Female,50.0,67.99,3414.38,Two year,Fiber optic,0.0
Male,17.0,23.52,444.09,Two year,No,999999.0
Female,62.0,46.29,2881.11,Two year,No,0.0
Male,17.0,36.78,616.39,One year,Fiber optic,1.0
Female,41.0,110.78,4544.46,Month-to-month,No,0.0
Male,44.0,61.29,2708.58,Two year,No,0.0
Male,62.0,70.58,4364.45,One year,No,0.0
Male,2.0,,97.59,Two_year123,DSL,0.0
Male,10.0,44.45,491.51,One year,Fiber optic,1.0
Male,71.0,44.2,3111.7,Two year,Fiber optic,0.0
Female,12.0,48.96,635.59,One year,Fiber optic,0.0
Male,14.0,32.15,455.01,One year,Fiber optic,0.0
Female,66.0,59.28,3908.1,Two year,DSL,0.0
Male,29.0,63.61,1856.67,One year,Fiber optic,0.0
,-999.0,103.15,5954.87,Month-to-month,DSL,1.0
Female,71.0,62.13,4365.81,Two year,Fiber optic,1.0
Male,53.0,92.76,999999.0,Month-to-month,Fiber optic,0.0
Female,28.0,73.01,2005.06,One year,DSL,0.0
Male,58.0,65.36,3791.3,One year,No,0.0
Male,68.0,53.19,3610.2,Two year,DSL,0.0
Male,23.0,26.21,618.58,Two year,DSL,0.0
Female,65.0,88.77,5811.64,One year,Fiber optic,0.0
Female,51.0,57.17,2879.01,One year,Fiber optic,0.0
Female,71.0,74.21,5274.27,One year,No,0.0
Male,38.0,75.27,2823.53,Two year,Fiber optic,0.0
Male,65.0,58.21,3804.69,,No,0.0
Female,54.0,73.63,3979.41,Two year,No,0.0
Female,2.0,21.52,,Two year,DSL,0.0
Male,35.0,97.84,999999.0,Month-to-month,Fiber optic,1.0
Female,27.0,41.52,1116.3,Two year,DSL,0.0
Male???,72.0,60.66,4397.2,One year,DSL,0.0
Male,49.0,87.4,4330.18,One year,Fiber optic,1.0
Male,2.0,32.19,101.26,Two year,Fiber optic,0.0
Female,29.0,62.57,,Two year,No,0.0
Male,25.0,40.65,1034.52,One year,Fiber optic,1.0
Male,66.0,52.84,3465.35,,Fiber optic,1.0
Male,33.0,82.64,2770.87,Month-to-month,Fiber optic,1.0
Female,7.0,70.59,,Two year,No,0.0
Female###,10.0,51.52,560.9,Two year,Fiber optic,1.0
Male,,44.21,2372.28,Two year,No,0.0
,43.0,43.11,1879.0,One year,Fiber optic,0.0
Male,15.0,46.74,741.55,Two year,Fiber optic,0.0
,,42.88,286.9,Two year,Fiber optic,1.0
Female,70.0,21.48,1505.29,Two year,Fiber optic,0.0
Female,63.0,112.88,7080.69,Month-to-month,Fiber optic,1.0
Male,22.0,20.44,406.23,Two year,No,0.0
Male,55.0,87.64,4840.47,,DSL,0.0
Female,10.0,29.23,,Two year@@,No,1.0
Male@@,10.0,105.6,1061.81,,DSL###,1.0
Male,34.0,57.07,1930.82,One year,Fiber optic,0.0
Female,16.0,58.49,,Two year,DSL,0.0
Male,10.0,36.37,392.39,One year,No,1.0
Male,37.0,53.71,2003.34,One year,Fiber optic,0.0
nan@@,18.0,67.81,1255.53,Two year,Fiber optic,1.0
Male,,58.88,2342.06,Two year,No,1.0
Male,16.0,90.09,1430.85,Month-to-month,DSL,1.0
Male,40.0,101.9,4098.59,Month-to-month,No,1.0
Male,21.0,93.18,1932.05,Month-to-month,DSL,1.0
Male,71.0,62.98,4450.65,One year,No,1.0
Male,26.0,49.23,1263.07,Two year,No,1.0
Male,13.0,34.19,413.82, One year ,No,0.0
Female,40.0,29.14,1172.29,Two year,No,0.0
Female,22.0,67.23,1451.21,Month-to-month,Fiber optic,0.0
Female,36.0,70.77,2530.88,One year,DSL,0.0
Female,46.0,63.1,2870.18,One year,Fiber optic,0.0
Female,18.0,35.79,682.85,Two year,DSL,1.0
Male,3.0,21.87,73.8,Two year,No,1.0
Male,222137.1170171732,52.61,312.92,Two year, Fiber optic ,1.0
Male,47.0,83.49,3932.99,One year,DSL???,0.0
Male,60.0,25.43,1512.19,,No,43051.945044511594
Male,22.0,46.77,996.85,Two year,DSL,0.0
Male,62.0,43.13,218494.9560918879,One year,DSL,1.0
Female,30.0,64.47,1974.87,Month-to-month,No,1.0
Female,59.0,118.64,6982.17,Month-to-month,DSL,0.0
Female,34.0,54.21,1830.81,Two year,No,0.0
Male,67.0,88.36,,,Fiber optic,1.0
Female???,63.0,30.4,1953.4,One year,No,0.0
Male,10.0,36.85,333.52,Two year,No,1.0
Male,30.0,73.22,2194.75,One year,Fiber optic,0.0
Male,21.0,21.35,402.66,,Fiber optic,0.0
Male,18.0,22.35,,Two year,No,1.0
Female,24.0,55.96,1349.4,Two year,Fiber optic,1.0
Female???,11.0,92.46,1014.2,Month-to-month,Fiber optic,1.0
Male,53.0,67.68,3619.09,Two year,DSL,1.0
Female,22.0,40.56,,Two year,No,0.0
Male,49.0,,1759.22,One year,DSL,0.0
Female,20.0,30.65,653.16,Two year,DSL,0.0
Male,12.0,,464.19,One year,No,0.0
Female,,82.49,5546.59,One year@@,Fiber optic,1.0
Female,49.0,78.28,3876.51,One year,No,0.0
Male,55.0,83.4,4560.25,Month-to-month,Fiber optic,0.0
Female,70.0,41.34,2914.71,One year,Fiber optic,0.0
Male,67.0,95.82,6438.72,Month-to-month,Fiber optic,1.0
Female,14.0,95.61,1313.9,Month-to-month,Fiber optic,0.0
Female,47.0,79.51,3726.72,Two year,Fiber optic,1.0
Female,23.0,63.29,1431.05,One year,No,0.0
,51.0,71.3,3652.23,Two year,DSL,0.0
Female,21.0,85.58,1825.79,Month-to-month,DSL,0.0
Male,21.0,30.32,595.83,One year,No,1.0
Female,12.0,,744.24,Month-to-month,Fiber optic,1.0
Female,52.0,51.26,,Two year,No123,0.0
Male,,42.1,2710.09,One year,DSL,0.0
Female,25.0,85.74,2163.34,Month-to-month,No,1.0
Male,47.0,50.02,2316.68,Month-to-month, No ,0.0
Female,46.0,44.33,2009.21,Two year,Fiber optic,1.0
Male,12.0,63.57,768.75,Two year,Fiber optic,0.0
Female,36.0,117.41,4222.24,Month-to-month,No,1.0
Male,34.0,85.44,2910.82,Month-to-month,Fiber optic,1.0
Female,15.0,72.57,1119.86,Two year,Fiber optic,0.0
Female,49.0,66.2,3269.55,, Fiber optic ,0.0
Female,59.0,48.92,2862.06,Two year,DSL,0.0
Male,30.0,87.33,2621.55,One year,Fiber optic@@,1.0
Female,32.0,53.94,1750.96,One year,DSL,0.0
Male,61.0,43.11,,One year,Fiber optic,1.0
Male,64.0,34.09,,Two year,DSL,-999.0
Male,26.0,74.92,1975.81,Month-to-month,No,1.0
Male,64.0,65.85,4218.55,Two year,DSL,999999.0
Female,48.0,49.54,2426.46,Two year,Fiber optic,0.0
Female,63.0,69.62,4358.27,Month-to-month,No,0.0
Male,68.0,86.38,,One year,Fiber optic,1.0
,59.0,86.27,5071.5,Month-to-month,No,-999.0
,49.0,39.53,1948.25,Two year,DSL,0.0
Female,31.0,87.51,2697.12,One year,Fiber optic,1.0
Female,27.0,75.13,2015.02,One year,No,0.0
Female,24.0,78.76,1908.84,Two year,DSL,0.0
Female,31.0,71.38,-999.0,Two year,Fiber optic,0.0
Male,61.0,79.51,4813.56,Month-to-month,DSL,0.0
Female,63.0,63.73,4021.77,One year,Fiber optic,0.0
Male,,83.36,679.87,Month-to-month,Fiber optic,1.0
Female,34.0,63.62,2206.26,One year,Fiber optic,-999.0
Male,53.0,110.72,5914.47,Month-to-month,Fiber optic,1.0
Male,37.0,70.39,2603.18,One year,Fiber optic,0.0
Male,49.0,47.83,2389.33,Two year,Fiber optic,0.0
Female,54.0,54.3,2967.09,Two year,No,1.0
Male,44.0,72.18,3155.06,Month-to-month,Fiber optic,1.0
Female,35.0,74.87,2622.54,One year,Fiber optic,0.0
,24.0,100.94,2438.76,Month-to-month,DSL,0.0
Male,27.0,57.21,,Month-to-month###,Fiber optic,0.0
Male,4.0,,261.93,One year,No,1.0
Male,11.0,38.56,398.9,two year,Fiber optic,1.0
Male,17.0,21.71,385.42,Two year,DSL,0.0
Female,61.0,86.09,5256.34,One year,No@@,1.0
Male,59.0,,,Two year,No,0.0
Female,45.0,43.63,1922.31,One year,No,0.0
Female,34.0,50.74,1727.49,Month-to-month,Fiber optic,0.0
Male,137939.359168242,62.11,2813.73,One year,Fiber optic,0.0
Female,39.0,105.86,4138.24,Month-to-month,Fiber optic,1.0
Female,25.0,56.23,1380.74,One year,No,0.0
Female,49.0,55.54,2733.99,Month-to-month,Fiber optic,1.0
Female,,51.92,1897.92,Two year,No,1.0
Male@@,24.0,57.72,1380.81,Month-to-month,Fiber optic,1.0
Female,25.0,39.13,1025.22,One year,DSL,1.0
Male,-999.0,72.91,2720.38,One year,DSL,0.0
Male,2.0,50.51,82.18,One year,DSL,0.0
FEMALE,60.0,39.81,2422.95,Two year,DSL,0.0
Male,35.0,62.59,2158.81,One year,DSL,0.0
Female,49.0,118.22,5814.25,Month-to-month,DSL,1.0
FEMALE,32.0,31.95,1045.93,Two year,DSL,1.0
Male,61.0,87.67,5391.49,One year,No,1.0
Male,71.0,35.2,2513.05,Two year,DSL,1.0
Male,28.0,94.3,,Month-to-month,DSL,1.0
Female,16.0,30.54,999999.0,One year,DSL,0.0
Female,20.0,44.92,898.39,One year,DSL,0.0
Female,8.0,95.12,781.09,Month-to-month,Fiber optic???,1.0
Male,63.0,118.72,7508.22,Month-to-month,Fiber optic,1.0
Female,25.0,76.44,1933.44, Month-to-month ,No,1.0
Male,63.0,53.54,3377.29,Two year, Fiber optic ,0.0
Male,70.0,,,One year,Fiber optic###,0.0
Male,9.0,46.96,454.58,Two year,DSL,0.0
Female,1.0,42.74,11.29,Two year,No,1.0
Female,31.0,,1094.52,One year,No,0.0
,68.0,65.94,4449.33,Two year,Fiber optic,1.0
Female,42.0,86.62,3594.71,Month-to-month,DSL,0.0
Male,23.0,57.49,,Month-to-month,DSL,1.0
Female,63.0,,3886.63,Two year,No,0.0
Male,2.0,84.4,207.78,Month-to-month,No,1.0
Male,47.0,76.29,3577.23,Two year,No@@,0.0
MALE,35.0,64.06,2275.55,Two year,DSL,1.0
Male,67.0,100.76,6754.09,Month-to-month,DSL,1.0
Male,23.0,,1254.88,Two year,No,0.0
Female,,45.62,,Two year###,No,0.0
,65.0,39.49,2616.69,One year,No,0.0
Female,41.0,70.69,2889.52,Two year,Fiber optic,0.0
Female,31.0,32.84,1044.61,,No,0.0
Female,,87.59,4066.75,One year,Fiber optic,1.0
Female,3.0,79.6,,Two year,DSL,1.0
Male,28.0,76.29,2180.45,One year,DSL,0.0
Male,13.0,74.9,937.54,Month-to-month,Fiber optic,1.0
Male,30.0,35.51,1055.28,One year,Fiber optic,0.0
Male,42.0,59.3,2530.5,One year,DSL,0.0
MALE,39.0,106.58,4144.77,Month-to-month,No,0.0
Female,45.0,85.81,,One year,Fiber optic,0.0
Male,49.0,86.71,4230.72,Month-to-month,Fiber optic,1.0
Female,65.0,29.19,1914.71,Two year,DSL,0.0
Female,65.0,80.24,-999.0,Month-to-month,DSL,1.0
Female,11.0,74.72,826.74,One year,No,1.0
Female,65.0,37.82,2421.79,One year,No,0.0
Female,51.0,31.77,1631.87,Two year123,No,0.0
Male,32.0,104.37,3322.18,Month-to-month,Fiber optic,0.0
Male,,45.41,665.98,Two year,Fiber optic,-999.0
Male,40.0,93.14,3774.62,Month-to-month,Fiber optic,1.0
Male,57.0,63.98,3634.24,Month-to-month,DSL,0.0
Male,15.0,34.58,,TWO YEAR,DSL,1.0
Female,2.0,78.26,137.03,One year,No,0.0
Female,27.0,32.71,887.81,Two year,No,0.0
Female,19.0,60.1,1129.56,Two year,No,0.0
Male,33.0,69.88,2334.96,Month-to-month,DSL,0.0
Male,60.0,24.0,1456.04,Two year,DSL,0.0
Female,14.0,110.72,1565.02,Month-to-month,Fiber optic,1.0
NAN,66.0,999999.0,4897.65,Two year,DSL,0.0
Male,24.0,117.68,2830.39,Month-to-month,No,0.0
Male,32.0,40.01,1269.66,,Fiber optic,1.0
Female,46.0,48.14,2264.04,One year,No123,0.0
Female,8.0,72.72,620.8,Two year,Fiber optic,0.0
Male,,39.1,2854.92,One year,DSL,0.0
Male,49.0,56.75,999999.0,Two year,No,0.0
Male,20.0,84.58,1674.53,One year,Fiber optic,0.0
Male,18.0,61.04,1068.95,Two year,No,1.0
Male@@,56.0,,6499.07,Month-to-month,No,1.0
Male,24.0,73.62,1793.42,,DSL,0.0
Female,53.0,74.74,,One year,Fiber optic,0.0
Female,-999.0,59.21,1136.82,Month-to-month,DSL,0.0
Female,30.0,33.85,968.11,Two year,DSL,1.0
Female,18.0,48.13,881.3,Two year,No,1.0
Female,63.0,39.83,2481.92,One year,DSL,0.0
Male,35.0,,2657.72,One year,DSL,0.0
 Male ,23.0,59.4,1348.69,One year,No,0.0
Male@@,55.0,66.48,3688.83,One_year,DSL,0.0
Female,69.0,72.55,5034.64,Two year,No,0.0
Female,59.0,999999.0,5081.85,Month-to-month,DSL,0.0
Female,67.0,31.39,2097.09,Two year,DSL,0.0
Female,60.0,70.61,4278.5,,Fiber optic,0.0
Male,60.0,25.43,1525.87,Two year,Fiber optic,1.0
Male,51.0,57.05,2877.44,One year,Fiber optic,0.0
Male,59.0,72.69,4303.57,Month-to-month,Fiber optic,0.0
Male,16.0,99.44,1604.45,,DSL,1.0
Female,66.0,42.72,2807.58,Two year,DSL,0.0
Female,20.0,62.52,1271.6,Month-to-month,DSL,1.0
FEMALE,58.0,,2408.57,One year,No,0.0
Male,33.0,84.83,2799.25,Month-to-month,Fiber optic,0.0
female,31.0,96.16,2976.33,Month-to-month,No,1.0
Male,32.0,57.19,1835.83,Two year,Fiber optic,0.0
Male,24.0,95.73,2251.19,Month-to-month,DSL,0.0
Female,43.0,,2527.03,Month-to-month,DSL,1.0
Female,72.0,102.45,,Month-to-month,FIBER OPTIC,1.0
Female,42.0,79.22,3353.08,One year,Fiber optic,0.0
Male,38.0,,1454.1,One year,DSL,645544.9545897949
Female,68.0,64.63,4350.66,Month-to-month,No,0.0
Male,62.0,56.29,3518.8,Two year,No,0.0
Female,41.0,64.51,2657.23,,No,0.0
Female,67.0,49.86,3371.42,Two year,No,0.0
Male@@,38.0,58.27,2210.75,Month-to-month,DSL,0.0
Male,54.0,-999.0,2707.66,One year,DSL,0.0
Male,26.0,35.27,873.8,Two year,Fiber optic,0.0
Female,1.0,73.33,62.93,Month-to-month,No,1.0
Male,23.0,108.37,2534.74,,Fiber optic,1.0
Female,5.0,48.89,257.17,Two year,DSL,0.0
Female,60.0,33.36,,One year@@,No,0.0
Female,72.0,32.5,2358.55,Two year,DSL,0.0
Female,9.0,108.85,963.57,Month-to-month,Fiber optic,1.0
Male,50.0,58.18,2937.23,Month-to-month,No,1.0
Female,5.0,35.21,168612.5575047259,One year,Fiber optic,1.0
Female,28.0,30.5,841.42,Two year,Fiber optic,1.0
Male,12.0,31.5,376.27,One year,No,0.0
,44.0,82.43,,one year,No,1.0
Male,67.0,32.31,2118.43,Two year,DSL,0.0
Male,1.0,71.22,80.65,One year,DSL,1.0
Female123,6.0,103.63,646.34,Month-to-month,No,1.0
Female,27.0,41.55,1099.51,One year,DSL,0.0
Female,16.0,39.45,592.65,One year,DSL,0.0
Male,27.0,-999.0,,Two year,Fiber optic,0.0
Female,32.0,71.8,2336.82,Month-to-month,DSL,1.0
Male,17.0,,1879.96,,Fiber optic,1.0
Male###,55.0,72.28,4014.53,One year,DSL,0.0
Female,46.0,79.05,3657.59,One year,Fiber optic,0.0
Male,60.0,25.57,1564.44,Two year,DSL,0.0
Male,59.0,68.67,4078.18,One year,No,0.0
Male,,74.77,1409.84,Two year,Fiber optic,0.0
Female123,42.0,31.82,1333.97,One year,Fiber optic,0.0
Female,-999.0,66.27,1420.68,One year,Fiber optic,1.0
Male,42.0,24.26,999.13,Two year,No,0.0
Female,-999.0,52.88,1686.67,Two year,DSL,0.0
,27.0,45.87,1286.51,Two year,No,0.0
Female,70.0,30.39,2144.26,Two year,DSL,0.0
Female,15.0,47.77,722.06,Two year, No ,0.0
Male,40.0,65.9,,One year,DSL,0.0
Female,42.0,69.61,2882.67,One year,No,0.0
Male,19.0,47.18,999999.0,Two year,DSL,0.0
Female,26.0,111.42,2876.89,Month-to-month###,No,0.0
Female,56.0,79.42,4455.79,Two year,Fiber optic,0.0
Female,17.0,52.15,891.44,One year,DSL,1.0
Female,15.0,44.11,681.87,One year,DSL,0.0
Female,49.0,56.11,2720.51,One year,Fiber optic,-999.0
,25.0,70.6,,Two year,Fiber optic,0.0
Female,,55.02,886.91,Month-to-month,DSL,0.0
Female,,,3368.75,Month-to-month,DSL,0.0
Female,24.0,55.45,1362.81,One year,No,0.0
Male,24.0,30.45,730.62,One year,No,0.0
Female,53.0,42.02,2274.88,Two year,No,0.0
NAN,15.0,77.7,1123.51,Two year,Fiber optic,0.0
Female,60.0,51.4,3095.01,Two year,DSL,0.0
Male,70.0,56.78,4014.96,Two year,Fiber optic,0.0
Male,61.0,84.36,5153.36,One year,No,1.0
Female,38.0,32.12,1262.85,One year,DSL,0.0
Female,8.0,54.69,444.81,Two year,Fiber optic,0.0
Female,4.0,34.95,140.36,One_year,Fiber optic,0.0
Female,33.0,,2334.9,Month-to-month,No,41343.57420941193
Male,23.0,29.07,663.28,Two year,No,0.0
Female,31.0,77.96,2452.96,One year,DSL,0.0
nan,19.0,70.26,1360.22,,DSL,0.0
Female,31.0,63.56,1937.09,Two year,Fiber optic,0.0
Female,7.0,324758.2648185416,418.91,Two year,Fiber_optic,1.0
Female,61.0,182743.44221172025,-999.0,One year,Fiber optic,0.0
Female,50.0,38.71,1972.53,One year,Fiber optic,1.0
Female,49.0,77.71,3826.08,Two year,Fiber optic,1.0
Female,56.0,71.5,3987.5,Two year,No,0.0
Male,33.0,43.47,1461.83,Two year,No,999999.0
Male,67.0,71.42,4753.13,,No,0.0
Male,9.0,56.84,471.95,Month-to-month,fiber optic,1.0
Male,37.0,32.04,1197.42,One year,DSL,1.0
Male,16.0,25.18,413.35,Two year,DSL,0.0
Male,,35.2,524.7,Two year,DSL,0.0
Female,36.0,84.2,3058.19,One year,No,1.0
Male,10.0,52.97,512.97, One year ,DSL,1.0
Female,23.0,59.5,1411.36,One year,DSL,0.0
Male,63.0,87.84,5527.05,Month-to-month,DSL,1.0
Male@@,57.0,26.2,1450.69,Two year,Fiber optic,0.0
Female,58.0,60.42,3518.39,Month-to-month,Fiber optic,0.0
Female,35.0,73.09,2547.28,Month-to-month,No,1.0
Female,62.0,80.64,5027.77,One year,Fiber optic,0.0
Male,1.0,79.08,77.29,One year,No,0.0
Female,43.0,44.04,1906.95,Two year,Fiber optic,0.0
Male,47.0,24.83,1162.97,Two year,Fiber optic,0.0
Male,23.0,78.05,1811.22,Two year,DSL,0.0
Female,14.0,41.56,540.33,Two year,No,0.0
Male,,51.78,981.68,Month-to-month,DSL,1.0
Female###,9.0,38.46,349.53,Two year,No???,0.0
,3.0,53.92,190.54,Month-to-month,Fiber optic,1.0
male,28.0,51.39,1482.93,Two year,No,0.0
Male,30.0,101.48,3043.29,Month-to-month,DSL,1.0
Male,32.0,27.83,857.78,Two year,No,1.0
Female,13.0,40.24,532.22,One year,No,0.0
Male,15.0,77.95,1141.31,One year,No,0.0
Female,44.0,44.12,1903.36,Two year,No,0.0
Male@@,42.0,91.52,3827.39,Month-to-month,DSL,1.0
Male,54.0,75.89,4064.56,Month-to-month,No,1.0
Male,18.0,92.87,1699.43,Month-to-month,No,1.0
Female,11.0,62.56,647.07,Month-to-month,DSL,1.0
FEMALE,54.0,,3293.78,Two year,Fiber optic,0.0
Female,53.0,92.74,4868.98,Month-to-month,DSL???,1.0
Female,12.0,40.87,440.9,Two year,Fiber optic,1.0
Male,68.0,,5148.55,Month-to-month,No,1.0
Male,60.0,32.49,1904.71,Two year,No,1.0
Male,61.0,39.59,2457.26,One year,DSL,1.0
Female,37.0,67.6,2512.88,month-to-month,Fiber optic,0.0
Female,6.0,53.67,325.76,Month-to-month,NO,1.0
Male,63.0,24.25,1501.28,Two year,DSL,0.0
Female,54.0,97.38,5241.09,Month-to-month,No,0.0
Female,30.0,101.64,3086.19,Month-to-month,DSL,1.0
 Male ,10.0,59.06,629.65,One year,No,1.0
Female,23.0,38.18,900.12,One year,Fiber optic,0.0
Female,26.0,31.93,837.05,One year,DSL,0.0
Male,60.0,40.27,2400.56, One year ,Fiber optic,0.0
Male,,71.3,1527.25,Two year,No,0.0
Female,28.0,70.22,1944.08,Two year,Fiber optic,999999.0
Male123,-999.0,64.77,,One year###,Fiber optic,0.0
Male,1.0,32.4,29.47,One year,DSL,0.0
Male,55.0,48.76,2711.6,two year,Fiber optic,0.0
Female,64.0,89.09,5653.0,Month-to-month,DSL,0.0
Male,17.0,,803.68,One year,FIBER OPTIC,1.0
Female,21.0,71.48,1525.81,,Fiber optic,1.0
Female,60.0,78.38,4731.79,Month-to-month,No,1.0
Female,1.0,43.09,62.17,Two year,DSL,0.0
Female,55.0,86.77,4776.59,,No,0.0
Male,43.0,50.88,2228.84,two year###,DSL,0.0
Male,15.0,57.92,,One year,Fiber optic,0.0
Male,72.0,28.3,2021.09,Two year,DSL,0.0
Female,27.0,39.23,1099.0,Two year,DSL,0.0
Female,36.0,76.1,2734.84,Month-to-month,DSL###,1.0
Male,61.0,60.7,3705.99,Two year,No,0.0
Female,9.0,56.11,494.06,Month-to-month,Fiber optic,1.0
Male,14.0,57.84,774.56,Month-to-month,Fiber optic,1.0
Male,67.0,37.59,2565.49,Two year,DSL,0.0
Male,61.0,56.63,3468.9,One year,Fiber optic,1.0
Male,,95.13,276.56,Month-to-month,no,1.0
female,63.0,61.81,,Two year,No,0.0
Female,17.0,77.36,1287.8,One year,DSL###,0.0
Female,7.0,,534.99,Month-to-month,Fiber optic,1.0
Male,69.0,88.39,6132.84,One year,DSL,0.0
Male,21.0,52.88,1092.14,Month-to-month###,DSL,1.0
Female,48.0,89.37,4243.23,Month-to-month,DSL,1.0
Female,19.0,62.39,1151.67,One year,Fiber optic,0.0
Male,52.0,86.87,4560.02,One year,DSL,1.0
FEMALE,38.0,88.18,3376.26,One year,Fiber optic,0.0
,57.0,36.74,2092.08,One year,No,1.0
Male,40.0,93.23,3701.24,Month-to-month,Fiber optic,1.0
FEMALE,8.0,31.71,256.32,Two year,No,0.0
Female,26.0,87.69,2274.49,Month-to-month,DSL,1.0
Male,66.0,59.43,3932.7,One year,DSL,0.0
Male,47.0,72.96,3421.88,One year,DSL,0.0
Male,37.0,48.49,1788.69,One year,Fiber optic,0.0
Male,57.0,68.22,3867.4,Two year,Fiber optic,0.0
Female,54.0,91.86,4924.8,Month-to-month,No,1.0
Female,9.0,,218.74,Two year,Fiber optic,0.0
Female,23.0,62.61,1465.55,,Fiber optic,1.0
Male,49.0,589931.8869081548,2944.84,One year,No,0.0
Female,64.0,47.81,3012.52,Two year,No,1.0
Female###,39.0,-999.0,1901.03,Two year,No,0.0
Female,23.0,68.69,1532.71,,No,0.0
Female,9.0,41.71,373.44,Two year,No,1.0
Female,61.0,42.39,2609.09,Two year,DSL,999999.0
Female,21.0,28.77,600.27,,DSL,0.0
Female,21.0,75.28,1594.5,Month-to-month,Fiber optic,0.0
Male,,68.34,2554.6,One year,No,1.0
Male,529431.3779906495,52.62,721.3,Two year,DSL,0.0
Female,35.0,61.3,2105.08,Two year,No,0.0
Male,999999.0,-999.0,167.28,Month-to-month,No,1.0
Male,,85.24,999999.0,Month-to-month,DSL,0.0
,54.0,36.99,-999.0,One year###,DSL,1.0
Female,40.0,,1127.79,Two year,Fiber optic,0.0
Female,23.0,,531.25,Two year,Fiber optic,1.0
